kampo_number,name,name_kana,symptoms,patterns,crude_drugs,classification,indications,Physical,point
1,葛根湯,かっこんとう,発熱|悪寒|頭痛|肩こり|感冒|はな風邪|結膜炎|角膜炎|中耳炎|扁桃腺炎|乳腺炎|リンパ腺炎|上半身の神経通|蕁麻疹,中間証|実証|寒症,カッコン|マオウ|ケイヒ|シャクヤク|カンゾウ|ショウキョウ|タイソウ,共通（領域を問わないもの）|呼吸器|循環器|神経・筋・脳神経|小児|外科・周術期|整形・運動器|産婦人科|皮膚|鼻腔咽喉|眼,熱性疾患の初期|感冒|リンパ腺炎|神経痛（上半身）|肩こり|中耳炎|蕁麻疹|乳腺炎|鼻風邪|扁桃炎|結膜炎|角膜炎,比較的体力のある,自然発汗なく悪寒、発熱、頭痛、肩こり等がある場合
2,葛根湯加川芎辛夷,かっこんとうかせんきゅうしんい,鼻づまり|蓄膿症|慢性鼻炎,中間証|実証|寒症|水滞,カッコン|タイソウ|マオウ|カンゾウ|ケイヒ|シャクヤク|センキュウ|シンイ|ショウキョウ,鼻腔咽喉,慢性鼻炎|蓄膿症|鼻づまり,比較的体力のある,頭重、項背のこわばりがあり、鼻閉、鼻漏等を伴う場合
3,乙字湯,おちじとう,キレ痔|イボ痔,中間証|熱証|瘀血|血虚,トウキ|サイコ|オウゴン|カンゾウ|ショウマ|ダイオウ,消化器|外科・周術期|産婦人科,キレ痔|イボ痔,体力中等度,便秘傾向で、症状あまり激しくない場合
5,安中散,あんちゅうさん,胃痛|胸やけ|げっぷ|食欲不振|吐き気|神経性胃炎|慢性胃炎|胃アトニー,中間証|虚証|寒証|気虚|水滞,ケイヒ|エンゴサク|ボレイ|カンゾウ|ウイキョウ|シュクシャ|リョウキョウ,消化器,慢性胃炎|胃アトニー|神経性胃炎,比較的体力低下,瘦せ型の人で慢性の胃痛胸焼け等がある場合
6,十味敗毒湯,じゅうみはいどくとう,皮膚炎|化膿|じんましん|急性湿疹|水虫,中間証,サイコ|キキョウ|センキュウ|ブクリョウ|ボクソク|ドクカツ|ボウフウ|カイガイ|ショウキョウ|カンゾウ,小児|皮膚,急性湿疹|蕁麻疹|化膿性皮膚疾患|急性皮膚疾患の初期|水虫,体力中等度,患部は発散性またはびまん性発疹で、滲出液のすくない場合
7,八味地黄丸,はちみじおうがん,腎炎|糖尿病|陰萎|坐骨神経痛|腰痛|脚気|膀胱カタル|前立腺肥大|高血圧,虚証|寒証|気虚|水滞,ジオウ|サンシュユ|サンヤク|タクシャ|ブシ|ブクリョウ|ボタンピ|ケイヒ,循環器|腎|代謝・内分泌|神経・筋・脳神経|小児|整形・運動器|産婦人科|泌尿器,高血圧|腎炎|糖尿病|脚気|坐骨神経痛|腰痛|膀胱炎|前立腺肥大|陰萎,体力中等度以下,中年以降、腰部及び下肢の脱力感、排尿異常を訴える場合
8,大柴胡湯,だいさいことう,胆石症|胆のう症|黄疸|肝機能障害|高血圧|脳溢血|じんましん|胃酸過多症|急性胃腸カタル|悪心|嘔吐|食欲不振|痔疾|糖尿病|ノイローゼ|不眠症,実証|熱証|気滞,サイコ|ハンゲ|オウゴン|シャクヤク|タイソウ|キジュツ|ショウキョウ|ダイオウ,共通（領域を問わないもの）|循環器|消化器|代謝・内分泌|神経・筋・脳神経|小児|外科・周術期|産婦人科|皮膚|精神・神経,食欲不振|高血圧|脳溢血|急性胃腸炎|胃酸過多|食欲不振|悪心|嘔吐|黄疸|肝臓障害|胆嚢炎|胆石症|痔|糖尿病|脳溢血|蕁麻疹|ノイローゼ|不眠,体力充実,悪心、嘔吐、胸脇苦満が強く便秘する場合
9,小柴胡湯,しょうさいことう,肺炎|気管支炎|気管支喘息|感冒|リンパ腺炎|慢性胃腸障害|産後回復不全|肝障害,中間証|熱証|気虚,サイコ|ハンゲ|オウゴン|タイソウ|ニンジン|カンゾウ|ショウキョウ,共通（領域を問わないもの）|呼吸器|循環器|消化器|小児|外科・周術期,諸種の急性熱性病|感冒|気管支炎|気管支喘息|肺炎|リンパ腺炎|慢性胃腸障害|慢性肝炎における肝機能障害,体力中等度,微熱、悪心、胸脇苦満があり食欲不振、口中不快感などを伴う場合
10,柴胡桂枝湯,さいこけいしとう,感冒|流感|肺炎|肺結核|胃潰瘍|十二指腸潰瘍|胆のう症|胆石症|肝機能障害|膵臓炎,中間証|虚証|熱証|気虚|気滞,サイコ|ハンゲ|オウゴン|カンゾウ|ケイヒ|シャクヤク|タイソウ|ニンジン|ショウキョウ,呼吸器|消化器|小児|外科・周術期,感冒|流感|肺炎|肺結核|胃潰瘍|十二指腸潰瘍|肝臓障害|胆嚢炎|胆石症|膵臓炎,体力中等度以下,急性期を経てお頭痛、悪寒、食欲不振、自汗、胸脇苦満がある場合
11,柴胡桂枝乾姜湯,さいこけいしかんきょうとう,更年期障害|冷え症|倦怠感|貧血|動機|息切れ|血の道症|神経症|不眠症,虚証|寒証|熱証|気滞|水滞|陰虚,サイコ|オウゴン|カロコン|ケイヒ|ボレイ|カンキョウ|カンゾウ,産婦人科|精神・神経,更年期障害|血の道症|神経症|不眠,比較的体力低下,顔色不良で疲労倦怠感、精神神経症状、胸脇苦満を伴う場合
